date,open,high,low,close,volume,name
2015-07-14,199.36,205.08,199.36,205.0,3043774.0,ALXN
2015-07-15,206.01,208.83,202.8,203.8,2290927.0,ALXN
2015-07-16,204.67,205.87,202.83,204.26,1595222.0,ALXN
2015-07-17,204.61,204.98,201.49,204.3,1147821.0,ALXN
2015-07-20,205.54,206.01,203.35,204.46,857635.0,ALXN
2015-07-21,203.6,205.83,201.31,204.88,916669.0,ALXN
2015-07-22,204.4,206.73,204.085,206.16,1041302.0,ALXN
2015-07-23,206.66,208.88,205.509,207.84,1012050.0,ALXN
2015-07-24,205.11,205.11,199.92,200.99,1827229.0,ALXN
2015-07-27,200.53,201.68,196.71,198.1,1671529.0,ALXN
2015-07-28,200.22,203.68,198.6,203.55,1536183.0,ALXN
2015-07-29,204.44,205.29,198.46,198.76,2190969.0,ALXN
2015-07-30,200.41,203.0602,189.4,199.29,2578733.0,ALXN
2015-07-31,200.0,200.0,196.32,197.44,1697910.0,ALXN
2015-08-03,196.88,199.0,193.52,195.73,1364859.0,ALXN
2015-08-04,196.52,198.91,195.45,197.15,872533.0,ALXN
2015-08-05,199.48,200.97,196.77,197.94,649120.0,ALXN
2015-08-06,197.73,198.2299,189.5,189.73,1132665.0,ALXN
2015-08-07,190.01,190.95,185.0,189.62,1519502.0,ALXN
2015-08-10,191.5,193.91,189.7,190.43,810380.0,ALXN
2015-08-11,189.34,189.92,184.76,186.31,1408897.0,ALXN
2015-08-12,185.13,191.38,182.3,191.01,1815536.0,ALXN
2015-08-13,190.09,191.89,188.32,188.83,980487.0,ALXN
2015-08-14,187.6,188.75,183.77,186.58,882910.0,ALXN
2015-08-17,186.75,191.52,185.03,191.22,980152.0,ALXN
2015-08-18,191.2,191.2,186.84,187.42,1106633.0,ALXN
2015-08-19,185.62,186.43,183.25,184.96,1306306.0,ALXN
2015-08-20,184.25,186.04,178.24,178.62,1333397.0,ALXN
2015-08-21,176.0,180.69,173.74,173.81,2234378.0,ALXN
2015-08-24,164.28,173.09,156.7111,166.85,3579100.0,ALXN
2015-08-25,171.82,173.66,165.19,165.44,2587149.0,ALXN
2015-08-26,170.72,173.76,164.83,173.54,1813874.0,ALXN
2015-08-27,175.32,179.98,174.23,179.82,2027069.0,ALXN
2015-08-28,178.4,180.0,176.3245,178.86,1477803.0,ALXN
2015-08-31,178.02,180.26,171.684,172.19,1636494.0,ALXN
2015-09-01,168.62,174.78,168.08,170.85,2551121.0,ALXN
2015-09-02,173.64,176.29,170.03,176.24,1839507.0,ALXN
2015-09-03,177.95,179.0,173.51,175.28,1537796.0,ALXN
2015-09-04,170.01,175.76,168.37,171.98,2184183.0,ALXN
2015-09-08,175.31,177.35,170.58,176.93,1557777.0,ALXN
2015-09-09,179.55,180.2,171.05,171.76,1137146.0,ALXN
2015-09-10,169.15,173.75,169.15,171.65,2180314.0,ALXN
2015-09-11,171.22,172.42,169.32,171.93,1106313.0,ALXN
2015-09-14,170.56,172.57,165.03,168.8,1956938.0,ALXN
2015-09-15,169.84,170.12,166.38,169.03,1139380.0,ALXN
2015-09-16,169.07,170.37,165.12,167.79,1206719.0,ALXN
2015-09-17,168.6,170.0,165.17,167.99,2178304.0,ALXN
2015-09-18,166.11,169.12,165.5,166.58,3989863.0,ALXN
2015-09-21,167.59,168.25,158.54,160.51,2215323.0,ALXN
2015-09-22,158.04,159.79,156.0,159.24,2251064.0,ALXN
2015-09-23,159.65,160.26,155.17,159.63,1794702.0,ALXN
2015-09-24,157.87,159.47,152.72,157.05,2090206.0,ALXN
2015-09-25,159.92,160.68,147.344,149.25,2526097.0,ALXN
2015-09-28,148.82,149.98,142.02,145.6,2786459.0,ALXN
2015-09-29,145.63,152.26,142.16,147.75,2981272.0,ALXN
2015-09-30,150.72,156.59,150.02,156.39,3029558.0,ALXN
2015-10-01,155.92,158.799,154.03,157.82,1848253.0,ALXN
2015-10-02,158.54,166.22,156.5101,166.07,2750214.0,ALXN
2015-10-05,167.28,168.19,161.6,163.42,1437374.0,ALXN
2015-10-06,162.43,163.33,155.055,160.0,2052842.0,ALXN
2015-10-07,161.4,166.25,158.94,164.78,2113317.0,ALXN
2015-10-08,163.91,165.68,156.75,164.31,2190700.0,ALXN
2015-10-09,164.12,165.46,159.6,161.08,1935850.0,ALXN
2015-10-12,162.11,162.11,158.37,159.86,1175725.0,ALXN
2015-10-13,159.69,161.95,152.25,153.25,1711674.0,ALXN
2015-10-14,153.84,157.16,151.93,152.66,1653459.0,ALXN
2015-10-15,152.12,161.155,150.69,161.07,2019523.0,ALXN
2015-10-16,161.96,163.28,158.07,160.72,1407805.0,ALXN
2015-10-19,160.05,164.82,158.179,162.11,1217531.0,ALXN
2015-10-20,161.47,162.03,157.5,159.02,1185180.0,ALXN
2015-10-21,161.09,164.11,155.6201,160.31,1669733.0,ALXN
2015-10-22,160.09,168.3887,159.11,166.76,2357981.0,ALXN
2015-10-23,168.24,171.9995,165.535,171.16,1689552.0,ALXN
2015-10-26,172.01,172.9,166.63,170.01,1593763.0,ALXN
2015-10-27,169.19,177.15,168.25,176.59,1677255.0,ALXN
2015-10-28,176.0,179.0,173.0,177.41,1703108.0,ALXN
2015-10-29,174.55,179.51,170.12,175.95,2177004.0,ALXN
2015-10-30,176.36,178.85,173.3,176.0,1971126.0,ALXN
2015-11-02,177.24,180.98,176.07,180.76,1518107.0,ALXN
2015-11-03,179.85,180.76,176.05,177.67,1346386.0,ALXN
2015-11-04,177.48,179.75,171.13,175.46,1916895.0,ALXN
2015-11-05,175.54,175.86,170.305,173.44,1080475.0,ALXN
2015-11-06,172.47,173.61,169.23,172.15,1182176.0,ALXN
2015-11-09,171.63,173.95,170.0,172.64,1287699.0,ALXN
2015-11-10,173.36,174.82,171.6,172.38,1151813.0,ALXN
2015-11-11,172.9,173.71,169.51,169.54,969371.0,ALXN
2015-11-12,169.53,170.595,165.98,166.13,1083235.0,ALXN
2015-11-13,166.17,168.98,164.58,166.44,983308.0,ALXN
2015-11-16,166.87,170.03,164.62,168.91,1046093.0,ALXN
2015-11-17,168.76,171.87,167.62,171.21,772627.0,ALXN
2015-11-18,171.84,176.76,170.52,176.65,966267.0,ALXN
2015-11-19,176.5,177.625,174.03,174.48,882440.0,ALXN
2015-11-20,176.53,176.63,172.61,173.59,907527.0,ALXN
2015-11-23,173.21,177.5,173.0101,175.97,961218.0,ALXN
2015-11-24,174.5,177.99,172.68,177.8,822389.0,ALXN
2015-11-25,177.88,182.98,177.05,182.24,1156803.0,ALXN
2015-11-27,182.32,183.1,179.84,182.46,478119.0,ALXN
2015-11-30,181.99,182.465,178.22,178.44,1367046.0,ALXN
2015-12-01,179.96,181.47,177.57,180.28,969868.0,ALXN
2015-12-02,179.74,179.84,175.8325,176.58,1128220.0,ALXN
2015-12-03,176.46,177.355,167.02,168.79,1717999.0,ALXN
2015-12-04,169.16,175.94,169.1,175.76,1226104.0,ALXN
2015-12-07,177.0,183.25,176.635,179.15,1944852.0,ALXN
2015-12-08,183.82,190.71,180.17,188.72,2652472.0,ALXN
2015-12-09,186.75,188.61,180.82,183.16,2063455.0,ALXN
2015-12-10,183.6,189.74,182.19,187.63,1257124.0,ALXN
2015-12-11,182.65,189.06,182.65,188.06,2508493.0,ALXN
2015-12-14,187.81,190.99,186.0001,187.79,2041124.0,ALXN
2015-12-15,188.46,190.77,185.2,186.21,1634228.0,ALXN
2015-12-16,188.28,189.16,185.02,188.91,1180853.0,ALXN
2015-12-17,189.72,190.7399,185.43,185.79,1366638.0,ALXN
2015-12-18,184.61,186.67,182.13,182.13,1976891.0,ALXN
2015-12-21,183.79,185.12,182.09,185.07,763052.0,ALXN
2015-12-22,186.19,187.39,183.83,187.07,833885.0,ALXN
2015-12-23,188.82,189.52,186.74,187.39,746236.0,ALXN
2015-12-24,187.96,190.22,186.985,189.41,335362.0,ALXN
2015-12-28,188.16,190.34,187.86,189.1,559657.0,ALXN
2015-12-29,190.09,193.39,189.4,191.88,684241.0,ALXN
2015-12-30,191.76,192.77,190.05,191.31,700717.0,ALXN
2015-12-31,190.18,193.45,189.94,190.75,882320.0,ALXN
2016-01-04,187.01,187.07,182.5,184.68,1637408.0,ALXN
2016-01-05,185.36,187.59,184.0,184.9,1042532.0,ALXN
2016-01-06,183.72,186.92,182.566,184.07,1480791.0,ALXN
2016-01-07,180.51,181.13,174.37,174.37,1966700.0,ALXN
2016-01-08,175.01,175.01,167.76,168.13,1754809.0,ALXN
2016-01-11,169.6,169.6,158.97,161.65,1905514.0,ALXN
2016-01-12,162.99,167.3,160.57,166.12,1455558.0,ALXN
2016-01-13,166.61,167.0,156.74,157.92,1686754.0,ALXN
2016-01-14,158.39,169.84,155.28,167.29,2684498.0,ALXN
2016-01-15,156.27,163.77,156.27,158.68,2703947.0,ALXN
2016-01-19,162.59,163.71,152.23,156.75,2396072.0,ALXN
2016-01-20,153.9,162.65,149.645,159.89,2958982.0,ALXN
2016-01-21,159.68,161.35,155.275,155.52,1777826.0,ALXN
2016-01-22,158.69,159.48,155.38,159.15,1136451.0,ALXN
2016-01-25,158.65,160.15,154.21,154.54,1282637.0,ALXN
2016-01-26,155.12,156.29,150.06,152.64,1524857.0,ALXN
2016-01-27,152.96,157.37,149.23,151.12,2140952.0,ALXN
2016-01-28,151.96,155.0,143.03,145.61,2989924.0,ALXN
2016-01-29,147.68,147.68,141.16,145.93,3158708.0,ALXN
2016-02-01,144.18,146.8,139.34,143.5,2722488.0,ALXN
2016-02-02,141.64,143.65,137.05,137.36,2477114.0,ALXN
2016-02-03,132.5,147.3,130.51,145.97,5597495.0,ALXN
2016-02-04,143.81,152.41,143.81,146.02,2803806.0,ALXN
2016-02-05,146.2,146.9,139.13,142.28,2132320.0,ALXN
2016-02-08,138.02,141.405,136.44,139.15,2146264.0,ALXN
2016-02-09,136.97,142.07,134.0,136.46,2559822.0,ALXN
2016-02-10,138.2,144.43,136.76,138.82,1758532.0,ALXN
2016-02-11,134.52,137.63,134.25,135.36,1402017.0,ALXN
2016-02-12,136.91,141.26,134.31,141.11,1595206.0,ALXN
2016-02-16,143.1,144.5456,140.42,142.39,1635554.0,ALXN
2016-02-17,143.93,149.16,141.79,148.6,2184579.0,ALXN
2016-02-18,148.52,149.27,142.78,143.15,1734212.0,ALXN
2016-02-19,142.28,146.13,140.5,145.89,1330150.0,ALXN
2016-02-22,147.79,148.67,144.5,145.32,1171674.0,ALXN
2016-02-23,144.22,147.67,141.86,142.06,1500398.0,ALXN
2016-02-24,140.66,142.55,135.76,141.97,1653820.0,ALXN
2016-02-25,142.09,144.99,139.03,140.54,1349270.0,ALXN
2016-02-26,141.4,141.825,137.95,140.16,1433581.0,ALXN
2016-02-29,138.91,142.81,138.91,140.8,1484728.0,ALXN
2016-03-01,142.47,151.19,140.11,150.83,2227714.0,ALXN
2016-03-02,149.55,152.49,149.0,151.59,1871439.0,ALXN
2016-03-03,150.75,151.19,145.67,145.85,1328870.0,ALXN
2016-03-04,146.49,148.23,144.12,144.46,1352962.0,ALXN
2016-03-07,143.16,150.12,142.2,149.6,1110864.0,ALXN
2016-03-08,147.15,147.59,140.8,141.03,1955916.0,ALXN
2016-03-09,141.62,142.89,137.27,140.52,2018853.0,ALXN
2016-03-10,141.73,141.73,135.01,136.76,1803068.0,ALXN
2016-03-11,138.22,139.79,136.71,139.27,1695148.0,ALXN
2016-03-14,139.15,139.15,134.49,134.5,1644690.0,ALXN
2016-03-15,133.75,134.59,130.52,134.44,2163323.0,ALXN
2016-03-16,134.44,136.74,129.71,130.84,1499721.0,ALXN
2016-03-17,130.56,131.59,124.16,127.91,2838930.0,ALXN
2016-03-18,128.58,129.52,124.77,128.45,2608231.0,ALXN
2016-03-21,128.38,131.8,128.07,131.06,1500609.0,ALXN
2016-03-22,129.91,135.9199,129.82,135.71,2203652.0,ALXN
2016-03-23,134.96,136.75,131.25,133.63,2333273.0,ALXN
2016-03-24,132.88,136.3699,130.37,133.19,1222032.0,ALXN
2016-03-28,133.95,135.2,131.93,132.5,1298440.0,ALXN
2016-03-29,131.61,134.74,129.61,134.54,1172756.0,ALXN
2016-03-30,135.88,138.0699,133.81,134.82,1263283.0,ALXN
2016-03-31,135.32,140.41,134.305,139.22,1831253.0,ALXN
2016-04-01,135.87,143.2,135.87,142.94,2023517.0,ALXN
2016-04-04,143.48,148.74,143.09,147.1,1995969.0,ALXN
2016-04-05,145.98,149.71,145.2145,148.03,1718949.0,ALXN
2016-04-06,148.29,157.19,148.29,157.02,2117774.0,ALXN
2016-04-07,154.97,156.48,147.67,148.03,2081011.0,ALXN
2016-04-08,150.0,150.6245,145.79,148.89,1542709.0,ALXN
2016-04-11,150.0,150.98,146.93,147.88,1296094.0,ALXN
2016-04-12,148.49,153.91,147.87,153.55,1461082.0,ALXN
2016-04-13,154.59,155.83,151.13,152.88,1622310.0,ALXN
2016-04-14,153.55,155.99,152.02,154.75,984712.0,ALXN
2016-04-15,155.13,155.29,151.65,153.09,1569045.0,ALXN
2016-04-18,153.76,157.71,152.43,155.71,989268.0,ALXN
2016-04-19,155.93,156.84,153.66,155.44,779186.0,ALXN
2016-04-20,156.24,158.12,154.92,157.04,822597.0,ALXN
2016-04-21,157.07,161.64,156.78,161.38,1197986.0,ALXN
2016-04-22,161.04,162.0,157.36,159.1,1216634.0,ALXN
2016-04-25,158.86,159.93,156.73,158.02,849052.0,ALXN
2016-04-26,158.08,158.08,151.96,154.01,1458572.0,ALXN
2016-04-27,154.47,155.48,150.75,150.78,1865581.0,ALXN
2016-04-28,142.99,146.48,139.12,142.53,3278627.0,ALXN
2016-04-29,141.88,142.305,137.4,139.28,2051577.0,ALXN
2016-05-02,140.07,140.78,138.5,140.53,1365407.0,ALXN
2016-05-03,141.71,147.79,141.0,144.37,2259306.0,ALXN
2016-05-04,143.7,144.46,140.865,141.41,1284472.0,ALXN
2016-05-05,142.16,143.74,140.36,142.58,1005576.0,ALXN
2016-05-06,141.32,143.52,139.67,140.99,933231.0,ALXN
2016-05-09,141.59,145.32,141.485,143.52,951438.0,ALXN
2016-05-10,144.75,145.7,141.52,145.48,912053.0,ALXN
2016-05-11,145.72,146.4396,138.69,138.86,1122397.0,ALXN
2016-05-12,139.58,140.46,136.68,139.11,1167077.0,ALXN
2016-05-13,138.65,140.27,138.0,139.74,1138936.0,ALXN
2016-05-16,139.19,144.88,138.64,144.57,1305450.0,ALXN
2016-05-17,143.81,144.39,139.38,139.96,1549710.0,ALXN
2016-05-18,139.7,142.45,139.5713,142.33,1249899.0,ALXN
2016-05-19,140.9,142.3,137.64,139.03,1304226.0,ALXN
2016-05-20,139.29,143.0,139.22,142.52,975544.0,ALXN
2016-05-23,142.42,144.5,141.73,142.51,981838.0,ALXN
2016-05-24,143.93,146.93,142.53,146.67,1169477.0,ALXN
2016-05-25,146.73,150.0,146.705,149.61,1395921.0,ALXN
2016-05-26,148.97,149.7,147.02,148.17,920322.0,ALXN
2016-05-27,148.2,150.65,146.55,150.42,1094251.0,ALXN
2016-05-31,151.07,153.44,149.8001,150.9,1121791.0,ALXN
2016-06-01,150.87,153.61,149.89,152.7,978231.0,ALXN
2016-06-02,152.69,157.02,152.69,156.77,1570450.0,ALXN
2016-06-03,156.0,156.25,150.6,153.89,1480549.0,ALXN
2016-06-06,154.02,155.78,152.14,154.99,1402295.0,ALXN
2016-06-07,139.97,140.75,136.14,138.13,5632792.0,ALXN
2016-06-08,138.14,139.79,137.91,138.88,2953708.0,ALXN
2016-06-09,138.26,141.48,137.75,138.24,2376206.0,ALXN
2016-06-10,136.7,137.86,134.02,135.61,1983755.0,ALXN
2016-06-13,135.72,137.63,133.18,133.32,1653974.0,ALXN
2016-06-14,133.19,134.05,130.27,131.22,1905184.0,ALXN
2016-06-15,131.67,132.2,129.35,129.55,1678130.0,ALXN
2016-06-16,128.74,129.55,127.2,127.49,2189871.0,ALXN
2016-06-17,126.98,127.49,124.8,125.2,3526557.0,ALXN
2016-06-20,128.33,128.55,123.79,123.96,3473046.0,ALXN
2016-06-21,124.57,124.83,122.65,124.14,2691077.0,ALXN
2016-06-22,123.92,126.055,121.07,121.41,3681336.0,ALXN
2016-06-23,123.08,123.71,121.43,123.57,1922846.0,ALXN
2016-06-24,117.5,119.51,110.56,112.99,7514338.0,ALXN
2016-06-27,113.63,115.39,111.02,111.89,3284492.0,ALXN
2016-06-28,113.0,115.69,113.0,114.94,2358599.0,ALXN
2016-06-29,115.8,116.785,112.2,114.17,2718666.0,ALXN
2016-06-30,114.1,116.89,113.24,116.76,2561967.0,ALXN
2016-07-01,116.68,119.76,115.835,118.59,2561538.0,ALXN
2016-07-05,117.35,118.2099,116.0,117.64,1442897.0,ALXN
2016-07-06,117.27,121.63,116.4,121.12,2723458.0,ALXN
2016-07-07,122.2,125.54,121.9,123.34,2812834.0,ALXN
2016-07-08,124.63,125.11,123.29,124.42,2447653.0,ALXN
2016-07-11,126.03,126.47,124.01,125.3,1734565.0,ALXN
2016-07-12,125.98,127.2,124.22,125.35,2413377.0,ALXN
2016-07-13,126.37,126.78,123.24,123.47,1593968.0,ALXN
2016-07-14,125.0,125.715,123.97,125.15,1317911.0,ALXN
2016-07-15,126.37,126.87,124.96,125.58,1606479.0,ALXN
2016-07-18,125.62,125.98,124.001,125.46,1003101.0,ALXN
2016-07-19,125.0,125.86,123.14,124.16,1426026.0,ALXN
2016-07-20,124.15,128.0,123.96,126.93,1817215.0,ALXN
2016-07-21,128.24,129.95,126.34,127.3,2172208.0,ALXN
2016-07-22,127.74,127.98,125.34,125.8,1381823.0,ALXN
2016-07-25,125.71,127.93,125.34,127.46,1382218.0,ALXN
2016-07-26,126.77,127.81,125.39,126.65,1331610.0,ALXN
2016-07-27,126.63,130.32,125.81,129.78,2110740.0,ALXN
2016-07-28,134.0,135.0,129.525,130.4,2899315.0,ALXN
2016-07-29,130.41,131.3,127.7,128.6,1895466.0,ALXN
2016-08-01,128.87,135.14,128.76,133.5,3425394.0,ALXN
2016-08-02,133.54,135.51,130.965,133.61,2286096.0,ALXN
2016-08-03,133.23,138.24,132.58,137.66,2084068.0,ALXN
2016-08-04,138.18,138.4,135.205,135.43,1708000.0,ALXN
2016-08-05,135.84,138.26,135.43,137.11,1470223.0,ALXN
2016-08-08,137.14,138.05,135.69,136.08,1171458.0,ALXN
2016-08-09,135.55,137.01,134.61,135.0,857990.0,ALXN
2016-08-10,135.31,135.49,131.89,132.67,1586427.0,ALXN
2016-08-11,132.86,134.46,132.28,133.67,701318.0,ALXN
2016-08-12,132.94,133.5,131.31,133.44,1096222.0,ALXN
2016-08-15,134.18,136.71,133.8285,136.07,1192737.0,ALXN
2016-08-16,135.36,135.37,133.68,133.76,666515.0,ALXN
2016-08-17,134.35,134.431,132.77,133.06,1004964.0,ALXN
2016-08-18,132.72,133.32,132.04,132.43,1024044.0,ALXN
2016-08-19,132.03,133.325,131.971,132.135,795928.0,ALXN
2016-08-22,133.72,136.62,133.06,136.53,1321071.0,ALXN
2016-08-23,137.22,137.7,135.94,137.42,903123.0,ALXN
2016-08-24,137.07,138.25,131.74,132.12,1395740.0,ALXN
2016-08-25,132.19,133.425,127.46,129.17,1695228.0,ALXN
2016-08-26,130.0,131.6,128.26,129.63,1057808.0,ALXN
2016-08-29,129.59,130.3824,127.71,127.99,955624.0,ALXN
2016-08-30,127.77,129.2,127.28,128.22,823792.0,ALXN
2016-08-31,127.77,128.72,125.69,125.86,1371354.0,ALXN
2016-09-01,125.9,126.42,123.79,125.63,1335715.0,ALXN
2016-09-02,126.29,126.29,123.56,123.67,1083049.0,ALXN
2016-09-06,123.79,126.05,122.02,125.85,1394086.0,ALXN
2016-09-07,125.6,127.235,124.41,125.09,915624.0,ALXN
2016-09-08,124.97,130.49,124.93,130.06,2071064.0,ALXN
2016-09-09,128.32,129.27,123.95,124.92,1550340.0,ALXN
2016-09-12,124.2,129.52,124.2,129.29,1227650.0,ALXN
2016-09-13,127.84,129.045,125.75,126.79,1169058.0,ALXN
2016-09-14,126.91,130.39,126.591,129.42,969888.0,ALXN
2016-09-15,126.99,131.22,126.99,129.7,1577865.0,ALXN
2016-09-16,129.99,132.54,128.42,131.46,2930221.0,ALXN
2016-09-19,131.6,133.03,130.29,131.18,1240251.0,ALXN
2016-09-20,132.47,132.95,130.375,131.73,1136965.0,ALXN
2016-09-21,132.26,132.83,128.1,130.36,1210394.0,ALXN
2016-09-22,131.09,133.88,129.85,133.69,1175594.0,ALXN
2016-09-23,131.6,132.3,127.18,127.22,2154637.0,ALXN
2016-09-26,127.22,127.64,124.21,124.51,1484700.0,ALXN
2016-09-27,124.25,126.52,123.66,125.98,1350927.0,ALXN
2016-09-28,127.45,127.45,123.26,123.76,1384083.0,ALXN
2016-09-29,124.23,125.2,120.02,120.06,1976442.0,ALXN
2016-09-30,120.11,123.05,119.23,122.54,1892733.0,ALXN
2016-10-03,122.41,122.8,120.36,122.14,1484671.0,ALXN
2016-10-04,122.41,123.91,121.85,123.41,1277144.0,ALXN
2016-10-05,123.78,126.82,123.01,125.51,1058643.0,ALXN
2016-10-06,124.61,125.3,122.58,122.89,951297.0,ALXN
2016-10-07,123.51,125.33,122.01,125.05,1024944.0,ALXN
2016-10-10,125.95,126.81,125.23,126.05,923595.0,ALXN
2016-10-11,125.24,125.985,120.95,121.77,1450237.0,ALXN
2016-10-12,122.04,122.1,118.59,118.75,1323386.0,ALXN
2016-10-13,117.72,120.75,117.26,119.61,1151893.0,ALXN
2016-10-14,120.28,121.39,118.26,118.34,958101.0,ALXN
2016-10-17,118.63,119.82,116.75,119.47,1242181.0,ALXN
2016-10-18,121.56,124.47,120.61,121.34,1130164.0,ALXN
2016-10-19,121.11,121.845,119.95,120.31,968508.0,ALXN
2016-10-20,120.31,123.22,119.99,122.47,883129.0,ALXN
2016-10-21,121.96,122.29,119.78,120.26,1111304.0,ALXN
2016-10-24,121.35,123.0299,119.335,121.61,1297947.0,ALXN
2016-10-25,121.79,123.23,120.74,121.41,932214.0,ALXN
2016-10-26,121.55,122.65,119.03,121.59,3834221.0,ALXN
2016-10-27,126.16,133.48,126.16,131.37,4449486.0,ALXN
2016-10-28,132.69,136.25,130.41,135.59,3247679.0,ALXN
2016-10-31,135.37,135.54,129.84,130.5,2284761.0,ALXN
2016-11-01,130.57,133.385,128.64,131.42,1907084.0,ALXN
2016-11-02,131.02,131.22,127.59,127.74,1786764.0,ALXN
2016-11-03,128.93,131.03,127.28,127.52,1917007.0,ALXN
2016-11-04,137.01,145.415,121.55,129.0,11384510.0,ALXN
2016-11-07,130.57,130.57,118.4,120.05,6151329.0,ALXN
2016-11-08,119.79,122.665,117.33,119.35,3885485.0,ALXN
2016-11-09,125.49,137.9999,123.07,127.16,6302975.0,ALXN
2016-11-10,126.25,128.91,125.46,126.88,7447418.0,ALXN
2016-11-11,125.76,126.699,111.665,113.62,6463293.0,ALXN
2016-11-14,115.1,122.59,114.5001,118.89,4026608.0,ALXN
2016-11-15,118.85,120.45,117.23,120.36,2120171.0,ALXN
2016-11-16,119.88,123.46,119.22,122.51,2896662.0,ALXN
2016-11-17,122.35,123.55,121.02,122.97,1929398.0,ALXN
2016-11-18,122.49,124.04,119.7,119.85,1523614.0,ALXN
2016-11-21,119.93,120.81,117.59,117.68,1642033.0,ALXN
2016-11-22,118.44,118.5,114.86,117.02,1697469.0,ALXN
2016-11-23,115.46,119.35,114.6,118.92,1650203.0,ALXN
2016-11-25,118.84,119.04,117.31,118.83,472545.0,ALXN
2016-11-28,118.48,119.95,116.63,119.38,1901678.0,ALXN
2016-11-29,121.0,127.55,118.5831,125.59,3298599.0,ALXN
2016-11-30,125.56,126.2099,122.16,122.59,1636720.0,ALXN
2016-12-01,122.78,123.49,121.32,122.01,1675717.0,ALXN
2016-12-02,122.5,123.45,121.34,122.96,1251394.0,ALXN
2016-12-05,124.09,127.55,123.85,124.93,2455237.0,ALXN
2016-12-06,124.69,125.55,123.67,124.17,1126941.0,ALXN
2016-12-07,122.71,127.0,120.75,125.62,2646352.0,ALXN
2016-12-08,125.45,126.69,123.13,126.0,1914177.0,ALXN
2016-12-09,126.26,134.06,126.06,132.07,2527945.0,ALXN
2016-12-12,118.61,120.36,109.8,115.08,14242570.0,ALXN
2016-12-13,113.61,113.85,109.12,110.01,6773533.0,ALXN
2016-12-14,109.42,114.43,109.31,113.52,5957469.0,ALXN
2016-12-15,113.66,116.91,112.68,116.7,4535874.0,ALXN
2016-12-16,118.15,120.93,117.35,120.04,5599144.0,ALXN
2016-12-19,119.76,121.91,113.54,114.56,4761595.0,ALXN
2016-12-20,115.14,121.7,114.57,116.72,4540429.0,ALXN
2016-12-21,117.2,120.015,115.41,118.99,2555455.0,ALXN
2016-12-22,119.75,126.31,118.4,125.85,5219627.0,ALXN
2016-12-23,125.75,127.8711,124.8201,127.19,2408134.0,ALXN
2016-12-27,127.19,128.133,124.83,126.06,1847320.0,ALXN
2016-12-28,125.98,125.98,123.6,123.73,1203730.0,ALXN
2016-12-29,123.52,123.84,121.92,123.63,1008473.0,ALXN
2016-12-30,123.62,124.23,121.81,122.35,1433072.0,ALXN
2017-01-03,123.19,125.28,122.13,122.63,1679850.0,ALXN
2017-01-04,123.6,128.61,123.2,127.11,3158400.0,ALXN
2017-01-05,133.0,141.41,133.0,139.18,8705521.0,ALXN
2017-01-06,139.98,144.75,137.59,143.61,3549596.0,ALXN
2017-01-09,143.7,145.0,141.23,144.77,2608519.0,ALXN
2017-01-10,144.99,145.0,140.5,143.67,1948090.0,ALXN
2017-01-11,143.04,143.23,134.02,136.66,4432314.0,ALXN
2017-01-12,137.85,138.36,135.13,137.35,1948258.0,ALXN
2017-01-13,137.03,139.97,135.41,136.93,1679672.0,ALXN
2017-01-17,136.19,136.8,134.57,135.3,1963355.0,ALXN
2017-01-18,136.25,138.47,134.97,135.87,2121812.0,ALXN
2017-01-19,135.45,135.6,133.67,134.35,1481293.0,ALXN
2017-01-20,135.18,135.18,131.19,131.97,1848323.0,ALXN
2017-01-23,132.23,133.09,130.6974,131.49,1545905.0,ALXN
2017-01-24,131.59,132.4,129.25,129.87,1630492.0,ALXN
2017-01-25,130.61,131.29,128.73,129.46,2045432.0,ALXN
2017-01-26,130.05,132.48,128.05,128.2,1856269.0,ALXN
2017-01-27,128.81,129.56,128.02,129.23,1267015.0,ALXN
2017-01-30,128.21,128.8644,127.18,128.05,1451617.0,ALXN
2017-01-31,128.01,131.07,126.1,130.68,2052196.0,ALXN
2017-02-01,128.5,132.84,128.5,132.32,2327563.0,ALXN
2017-02-02,130.86,131.9999,127.955,128.38,2821432.0,ALXN
2017-02-03,129.11,129.11,126.74,126.98,3027628.0,ALXN
2017-02-06,125.69,128.3,125.31,128.19,1684582.0,ALXN
2017-02-07,128.09,128.65,126.23,127.72,1272624.0,ALXN
2017-02-08,127.12,128.58,125.69,126.37,1758264.0,ALXN
2017-02-09,126.18,127.67,125.79,127.08,2165516.0,ALXN
2017-02-10,127.49,127.9805,125.85,126.51,1668136.0,ALXN
2017-02-13,127.22,128.15,126.0397,127.77,3021091.0,ALXN
2017-02-14,128.22,130.4699,127.75,129.5,3321846.0,ALXN
2017-02-15,129.06,132.38,129.05,132.0,2610582.0,ALXN
2017-02-16,137.71,138.21,130.18,130.39,5186463.0,ALXN
2017-02-17,130.0,130.228,125.2,128.82,3048171.0,ALXN
2017-02-21,129.71,132.78,129.42,129.89,2715780.0,ALXN
2017-02-22,129.38,131.99,129.36,130.83,1243107.0,ALXN
2017-02-23,130.51,131.56,128.93,130.44,1827077.0,ALXN
2017-02-24,131.37,132.46,130.0,131.54,1657255.0,ALXN
2017-02-27,131.2,132.53,130.66,132.2,1311511.0,ALXN
2017-02-28,131.71,132.169,130.61,131.25,1756176.0,ALXN
