date,open,high,low,close,volume,name
2017-11-07,84.77,84.9,83.93,84.27,17939727.0,MSFT
2017-11-08,84.14,84.61,83.83,84.56,18034170.0,MSFT
2017-11-09,84.11,84.27,82.9,84.09,21171550.0,MSFT
2017-11-10,83.79,84.095,83.23,83.87,19397793.0,MSFT
2017-11-13,83.66,83.94,83.46,83.93,14196896.0,MSFT
2017-11-14,83.5,84.1,82.98,84.05,18801280.0,MSFT
2017-11-15,83.47,83.69,82.69,82.98,19383102.0,MSFT
2017-11-16,83.1,83.42,82.94,83.2,20962750.0,MSFT
2017-11-17,83.12,83.12,82.24,82.4,22078993.0,MSFT
2017-11-20,82.4,82.59,82.25,82.53,16314978.0,MSFT
2017-11-21,82.74,83.84,82.74,83.72,21237454.0,MSFT
2017-11-22,83.83,83.9,83.04,83.11,20553089.0,MSFT
2017-11-24,83.01,83.43,82.78,83.26,7425603.0,MSFT
2017-11-27,83.31,83.98,83.3,83.87,18265242.0,MSFT
2017-11-28,84.07,85.06,84.02,84.88,21925959.0,MSFT
2017-11-29,84.71,84.9172,83.175,83.34,27381109.0,MSFT
2017-11-30,83.51,84.52,83.34,84.17,33054647.0,MSFT
2017-12-01,83.6,84.81,83.22,84.26,29532132.0,MSFT
2017-12-04,84.42,84.4299,80.7,81.08,39094880.0,MSFT
2017-12-05,81.34,82.68,80.9801,81.59,26152261.0,MSFT
2017-12-06,81.55,83.14,81.43,82.78,26162054.0,MSFT
2017-12-07,82.54,82.8,82.0,82.49,23184547.0,MSFT
2017-12-08,83.63,84.58,83.33,84.16,24489106.0,MSFT
2017-12-11,84.29,85.37,84.12,85.23,22857854.0,MSFT
2017-12-12,85.31,86.05,85.08,85.58,23924105.0,MSFT
2017-12-13,85.74,86.0,85.17,85.35,22062679.0,MSFT
2017-12-14,85.43,85.8739,84.53,84.69,19305961.0,MSFT
2017-12-15,85.26,87.09,84.88,86.85,53936687.0,MSFT
2017-12-18,87.12,87.4999,86.23,86.38,22283752.0,MSFT
2017-12-19,86.35,86.35,85.27,85.83,23524787.0,MSFT
2017-12-20,86.2,86.3,84.71,85.52,23674931.0,MSFT
2017-12-21,86.05,86.1,85.4,85.5,17990745.0,MSFT
2017-12-22,85.4,85.63,84.92,85.51,14145841.0,MSFT
2017-12-26,85.31,85.5346,85.03,85.4,9891237.0,MSFT
2017-12-27,85.65,85.98,85.215,85.71,14678025.0,MSFT
2017-12-28,85.9,85.93,85.55,85.72,10594344.0,MSFT
2017-12-29,85.63,86.05,85.5,85.54,18717406.0,MSFT
2018-01-02,86.125,86.31,85.5,85.95,22483797.0,MSFT
2018-01-03,86.055,86.51,85.97,86.35,26061439.0,MSFT
2018-01-04,86.59,87.66,86.57,87.11,21911974.0,MSFT
2018-01-05,87.66,88.41,87.43,88.19,23407110.0,MSFT
2018-01-08,88.2,88.58,87.6046,88.28,22113049.0,MSFT
2018-01-09,88.65,88.7272,87.86,88.22,19484317.0,MSFT
2018-01-10,87.86,88.19,87.41,87.82,18652201.0,MSFT
2018-01-11,88.13,88.13,87.24,88.08,17808877.0,MSFT
2018-01-12,88.67,89.78,88.45,89.6,24271531.0,MSFT
2018-01-16,90.1,90.79,88.0104,88.35,36599736.0,MSFT
2018-01-17,89.08,90.28,88.75,90.14,25621164.0,MSFT
2018-01-18,89.8,90.67,89.66,90.1,24159683.0,MSFT
2018-01-19,90.14,90.61,89.66,90.0,36875013.0,MSFT
2018-01-22,90.0,91.62,89.74,91.61,23601555.0,MSFT
2018-01-23,91.9,92.3,91.54,91.9,23412841.0,MSFT
2018-01-24,92.55,93.43,91.58,91.82,33277483.0,MSFT
2018-01-25,92.465,93.24,91.93,92.33,26383238.0,MSFT
2018-01-26,93.12,94.06,92.58,94.06,29172167.0,MSFT
2018-01-29,95.14,95.45,93.72,93.92,31569940.0,MSFT
2018-01-30,93.3,93.66,92.1,92.74,38635053.0,MSFT
2018-01-31,93.75,95.4,93.51,95.01,48756338.0,MSFT
2018-02-01,94.79,96.07,93.5813,94.26,47227882.0,MSFT
2018-02-02,93.64,93.97,91.5,91.78,47867753.0,MSFT
2018-02-05,90.56,93.24,88.0,88.0,51031465.0,MSFT
2018-02-06,86.89,91.475,85.25,91.33,67998564.0,MSFT
2018-02-07,90.49,91.77,89.2,89.61,41107592.0,MSFT
2013-02-08,60.2,60.48,59.19,60.3,1226944.0,MSI
2013-02-11,60.36,61.035,60.21,60.9,1080309.0,MSI
2013-02-12,60.79,61.06,60.47,60.83,941229.0,MSI
2013-02-13,61.0,61.3999,60.79,60.81,1489324.0,MSI
2013-02-14,60.52,61.28,60.2,61.12,1765526.0,MSI
2013-02-15,61.32,61.83,61.15,61.43,1854302.0,MSI
2013-02-19,61.35,62.05,61.2675,62.03,1521057.0,MSI
2013-02-20,61.98,61.99,61.25,61.26,1423516.0,MSI
2013-02-21,61.22,61.22,60.52,60.88,1384099.0,MSI
2013-02-22,61.17,61.945,61.03,61.9,1297205.0,MSI
2013-02-25,62.0,62.08,60.27,60.28,1852670.0,MSI
2013-02-26,60.4,60.835,60.12,60.63,2619409.0,MSI
2013-02-27,60.83,62.3,60.63,62.09,1902609.0,MSI
2013-02-28,61.95,62.51,61.86,62.21,1891932.0,MSI
2013-03-01,61.94,62.28,61.51,62.03,1247804.0,MSI
2013-03-04,61.76,62.5,61.63,62.5,1325149.0,MSI
2013-03-05,62.69,63.14,62.5001,62.97,1773373.0,MSI
2013-03-06,63.25,63.58,63.025,63.11,1864059.0,MSI
2013-03-07,63.3,63.44,62.61,62.64,1397291.0,MSI
2013-03-08,62.87,63.32,62.525,62.75,2083715.0,MSI
2013-03-11,62.61,62.84,62.52,62.56,1715801.0,MSI
2013-03-12,62.51,62.62,61.47,62.13,2106328.0,MSI
2013-03-13,62.0,62.3,61.67,62.22,1264416.0,MSI
2013-03-14,62.49,62.57,62.02,62.34,1499800.0,MSI
2013-03-15,62.21,62.5,62.03,62.07,2215406.0,MSI
2013-03-18,61.44,62.1,61.26,61.64,768687.0,MSI
2013-03-19,61.76,61.976,61.24,61.67,879570.0,MSI
2013-03-20,61.95,62.52,61.91,62.4,1399571.0,MSI
2013-03-21,62.13,62.635,61.98,62.43,1173055.0,MSI
2013-03-22,62.49,63.78,62.47,63.61,1753659.0,MSI
2013-03-25,63.71,63.725,62.87,63.29,1186628.0,MSI
2013-03-26,63.58,63.75,63.34,63.46,916174.0,MSI
2013-03-27,63.18,63.77,63.01,63.56,900895.0,MSI
2013-03-28,63.46,64.1,63.31,64.03,1352220.0,MSI
2013-04-01,63.97,64.23,63.5601,63.7,748191.0,MSI
2013-04-02,64.0,64.2,63.475,63.7,650641.0,MSI
2013-04-03,63.58,63.63,62.62,62.8,1611212.0,MSI
2013-04-04,62.68,63.19,62.5601,62.99,1246141.0,MSI
2013-04-05,62.36,62.83,62.07,62.67,1056780.0,MSI
2013-04-08,62.59,63.2,62.34,63.17,1155123.0,MSI
2013-04-09,63.3,63.93,63.08,63.64,990711.0,MSI
2013-04-10,63.73,64.72,63.441,64.69,1012346.0,MSI
2013-04-11,64.56,64.72,64.1501,64.63,1109400.0,MSI
2013-04-12,64.22,64.58,63.31,63.87,1182006.0,MSI
2013-04-15,63.38,63.44,61.82,61.83,1611576.0,MSI
2013-04-16,62.31,63.11,62.02,62.96,1218170.0,MSI
2013-04-17,62.67,62.7625,61.97,62.13,1361435.0,MSI
2013-04-18,62.39,62.396,61.0601,61.15,1727865.0,MSI
2013-04-19,61.55,62.25,61.02,61.72,1486593.0,MSI
2013-04-22,61.84,62.065,61.31,61.78,839636.0,MSI
2013-04-23,61.88,62.0,60.7436,61.75,2326414.0,MSI
2013-04-24,54.74,57.1,53.28,56.02,8367382.0,MSI
2013-04-25,56.06,56.76,55.33,56.39,3657363.0,MSI
2013-04-26,56.31,57.19,56.31,56.8,3535949.0,MSI
2013-04-29,57.01,57.79,56.851,57.44,2361015.0,MSI
2013-04-30,57.4,57.41,56.55,57.2,2716718.0,MSI
2013-05-01,57.0,57.48,56.36,56.37,2176084.0,MSI
2013-05-02,56.42,57.02,56.25,56.89,1843832.0,MSI
2013-05-03,57.23,57.7,57.16,57.29,1766374.0,MSI
2013-05-06,57.03,57.6,56.91,56.95,1940232.0,MSI
2013-05-07,56.9,57.06,56.6,56.79,2605392.0,MSI
2013-05-08,56.81,57.36,56.43,57.0,2639500.0,MSI
2013-05-09,56.8,57.08,56.135,56.78,2676615.0,MSI
2013-05-10,56.44,56.78,56.09,56.48,2334164.0,MSI
2013-05-13,56.23,56.53,56.07,56.17,2249038.0,MSI
2013-05-14,56.01,56.94,56.01,56.89,2238999.0,MSI
2013-05-15,56.68,57.23,56.63,57.1,2239827.0,MSI
2013-05-16,57.1,57.88,56.89,57.53,3030511.0,MSI
2013-05-17,57.51,57.92,57.34,57.84,2295592.0,MSI
2013-05-20,57.62,58.83,57.62,58.25,3507432.0,MSI
2013-05-21,58.68,59.07,57.66,57.77,2685926.0,MSI
2013-05-22,57.71,58.21,57.19,57.3,2517134.0,MSI
2013-05-23,57.05,57.85,57.0,57.48,3831940.0,MSI
2013-05-24,57.3,58.03,56.86,57.81,3077321.0,MSI
2013-05-28,58.06,59.0267,58.0401,58.53,2360085.0,MSI
2013-05-29,58.29,58.525,58.0,58.32,1738976.0,MSI
2013-05-30,58.46,58.93,58.26,58.54,1413966.0,MSI
2013-05-31,58.31,59.04,57.95,57.96,2198672.0,MSI
2013-06-03,58.12,58.58,57.43,57.83,2205450.0,MSI
2013-06-04,57.7,58.05,57.38,57.41,2051174.0,MSI
2013-06-05,57.18,57.31,56.25,56.27,2017397.0,MSI
2013-06-06,56.29,56.92,56.15,56.92,2383556.0,MSI
2013-06-07,57.12,57.42,56.745,56.94,1581834.0,MSI
2013-06-10,57.0,57.1,56.335,56.61,2161350.0,MSI
2013-06-11,56.28,57.08,55.97,56.38,1547767.0,MSI
2013-06-12,56.59,56.678,56.03,56.26,1499827.0,MSI
2013-06-13,56.25,57.29,56.04,57.19,1641721.0,MSI
2013-06-14,57.11,57.5324,56.92,56.93,1518422.0,MSI
2013-06-17,57.17,57.5,57.08,57.33,1618164.0,MSI
2013-06-18,57.44,57.625,57.17,57.35,1119150.0,MSI
2013-06-19,57.33,57.42,56.75,56.78,2196701.0,MSI
2013-06-20,56.53,56.84,55.36,55.5,2665155.0,MSI
2013-06-21,55.97,56.03,55.17,55.82,4310734.0,MSI
2013-06-24,55.33,55.8,54.64,55.59,2335407.0,MSI
2013-06-25,55.98,56.42,55.55,56.35,2741658.0,MSI
2013-06-26,56.66,57.68,56.54,57.49,2793930.0,MSI
2013-06-27,57.68,58.2,57.42,57.84,1514010.0,MSI
2013-06-28,57.72,58.33,57.46,57.73,4740788.0,MSI
2013-07-01,57.81,58.425,57.81,57.98,1227980.0,MSI
2013-07-02,57.75,57.875,57.215,57.49,1889920.0,MSI
2013-07-03,57.12,57.635,57.02,57.26,894832.0,MSI
2013-07-05,57.58,57.965,57.33,57.93,1097397.0,MSI
2013-07-08,58.04,58.59,57.85,57.86,1180016.0,MSI
2013-07-09,58.08,58.46,57.71,58.03,1134745.0,MSI
2013-07-10,58.03,58.53,57.935,58.43,2034058.0,MSI
2013-07-11,58.91,59.43,58.85,59.05,1836025.0,MSI
2013-07-12,59.05,59.75,58.86,59.54,1353264.0,MSI
2013-07-15,59.49,59.615,59.13,59.17,1353521.0,MSI
2013-07-16,59.1,59.58,59.03,59.32,1448689.0,MSI
2013-07-17,59.33,59.59,59.1,59.42,895468.0,MSI
2013-07-18,59.37,59.5,59.0,59.36,1222637.0,MSI
2013-07-19,59.46,60.075,59.24,59.85,2248726.0,MSI
2013-07-22,59.73,59.95,59.415,59.87,2566804.0,MSI
2013-07-23,59.75,60.69,59.75,59.98,2138014.0,MSI
2013-07-24,56.41,56.88,53.88,56.04,7396743.0,MSI
2013-07-25,55.95,55.98,54.19,54.25,5029642.0,MSI
2013-07-26,53.92,54.34,53.62,54.26,3245874.0,MSI
2013-07-29,54.02,54.46,53.74,54.01,2143501.0,MSI
2013-07-30,54.23,54.63,53.9,54.35,2568375.0,MSI
2013-07-31,54.56,55.26,54.13,54.83,2434039.0,MSI
2013-08-01,55.07,55.4,54.92,55.32,1416772.0,MSI
2013-08-02,55.32,56.13,55.15,56.02,1742529.0,MSI
2013-08-05,55.8,56.12,55.64,56.1,1190641.0,MSI
2013-08-06,55.92,56.52,55.84,56.4,1656472.0,MSI
2013-08-07,56.19,56.52,56.051,56.48,1679148.0,MSI
2013-08-08,56.6,57.16,56.26,57.13,1721094.0,MSI
2013-08-09,56.84,57.54,56.84,57.36,1534496.0,MSI
2013-08-12,57.05,57.56,56.8,57.44,1898080.0,MSI
2013-08-13,57.39,57.94,57.32,57.84,1406467.0,MSI
2013-08-14,57.68,57.96,57.62,57.71,1392857.0,MSI
2013-08-15,57.1,57.1,56.52,56.96,3299589.0,MSI
2013-08-16,57.31,57.46,56.9,57.15,2011786.0,MSI
2013-08-19,56.97,57.52,56.94,57.09,1518569.0,MSI
2013-08-20,56.96,57.14,56.85,57.05,1913293.0,MSI
2013-08-21,56.86,57.0,55.785,56.06,3258883.0,MSI
2013-08-22,56.05,56.455,55.94,56.33,1435542.0,MSI
2013-08-23,56.49,56.84,56.31,56.74,1100491.0,MSI
2013-08-26,56.59,57.06,56.53,56.55,1001860.0,MSI
2013-08-27,56.03,56.35,55.7,56.12,1636217.0,MSI
2013-08-28,56.12,56.6,56.12,56.39,1308878.0,MSI
2013-08-29,56.26,56.4299,55.97,56.19,1372431.0,MSI
2013-08-30,56.16,56.21,55.85,56.01,1408825.0,MSI
2013-09-03,56.38,57.0,56.04,56.28,1749412.0,MSI
2013-09-04,56.22,56.38,55.96,56.08,2384881.0,MSI
2013-09-05,55.93,56.59,55.93,56.17,1464683.0,MSI
2013-09-06,56.17,56.81,55.8,56.47,1894646.0,MSI
2013-09-09,56.63,58.0,56.63,57.59,2370779.0,MSI
2013-09-10,57.76,58.0,57.14,57.37,1793998.0,MSI
2013-09-11,56.99,57.32,56.64,57.25,1096487.0,MSI
2013-09-12,57.35,58.0,57.29,57.5,2043719.0,MSI
2013-09-13,57.44,57.53,57.15,57.46,1042345.0,MSI
2013-09-16,58.06,58.16,57.77,57.81,2069317.0,MSI
2013-09-17,57.76,58.29,57.76,58.28,1521140.0,MSI
2013-09-18,58.25,59.38,58.1,59.26,2663696.0,MSI
2013-09-19,59.22,59.925,59.2,59.69,2587953.0,MSI
2013-09-20,59.93,60.765,59.88,60.39,8426438.0,MSI
2013-09-23,60.16,60.39,60.05,60.37,1655164.0,MSI
